"Y" "x1" "x2" "x3" "x4" "x5" "x6" "x7"
36 51 0 0 1 0 "low" 0
226.2 54 2 0 2 0 "low" 82
170.9 56 5 4 10 0 "medium" 329
161.2 61 1 0 1 0 "low" 188
16 56 0 0 2 0 "low" 70
41803.2 52 14 0 6 1 "high" 352
547.4 48 3 2 6 0 "high" 235
5404.2 50 6 1 3 0 "medium" 33
26.4 53 2 3 6 0 "low" 1
15.4 60 0 0 2 0 "low" 0
85.6 59 1 0 2 0 "low" 0
1447.8 57 6 0 2 0 "high" 276
18780.2 60 10 0 12 0 "high" 316
132.8 54 2 0 2 0 "low" 35
137.3 47 1 0 0 0 "high" 124
4547.9 51 7 0 0 0 "high" 281
358.2 59 2 0 0 0 "high" 320
402.2 43 6 0 1 0 "low" 0
584.1 56 0 0 5 0 "high" 262
80 60 1 0 4 0 "low" 0
1192.7 57 5 0 0 0 "high" 77
6854.9 61 17 0 6 0 "high" 283
132.7 56 3 5 7 0 "medium" 279
22.4 63 0 0 2 0 "low" 180
112.7 66 2 0 1 0 "low" 0
257.7 53 2 0 2 0 "medium" 196
1714.8 54 5 0 0 0 "high" 237
3535.2 56 3 3 9 0 "low" 100
88.6 66 4 0 5 0 "low" 289
3162.8 57 7 0 0 0 "high" 327
256.5 67 4 0 0 0 "low" 13
3484.9 62 11 0 5 1 "low" 21
28.8 51 1 0 2 0 "low" 0
10.9 61 1 0 2 0 "medium" 207
991.7 45 0 0 2 0 "medium" 150
2373.9 57 4 1 5 0 "high" 153
789.2 66 4 0 2 0 "high" 342
5221.6 60 4 0 5 0 "medium" 224
171.4 63 0 0 1 0 "high" 245
44840 63 11 6 10 0 "low" 234
68 69 0 0 4 0 "low" 0
881.4 60 3 0 2 0 "high" 313
1625.2 61 2 0 2 0 "medium" 91
510.2 54 5 0 1 0 "low" 99
304.8 56 2 0 2 0 "low" 23
621.6 68 3 0 2 0 "high" 354
318.2 57 4 0 4 0 "medium" 281
317.6 64 2 0 2 0 "medium" 200
980.4 63 6 0 4 0 "high" 321
217.6 54 2 0 4 0 "low" 4
408.8 65 2 0 4 0 "low" 141
62.4 63 1 0 3 0 "low" 0
914.5 66 8 0 5 0 "high" 293
69.2 62 0 0 2 0 "low" 315
345.6 52 3 2 7 0 "low" 60
11287.7 68 6 0 3 0 "high" 295
3372.7 65 5 0 3 0 "low" 23
597.4 58 5 0 3 0 "medium" 218
60.9 57 0 0 4 0 "medium" 28
285 67 0 0 2 0 "high" 282
198.4 60 3 0 3 0 "low" 28
100.8 49 2 0 0 0 "low" 0
546.9 58 1 0 2 0 "high" 300
120.2 65 1 0 4 0 "low" 322
377.5 66 1 0 2 0 "medium" 316
7.5 62 1 0 3 0 "low" 0
118.5 51 2 0 4 0 "low" 0
1387.1 58 5 0 0 0 "low" 99
2725.4 51 4 3 4 0 "low" 200
5854.9 56 9 1 1 0 "medium" 179
36.9 46 0 0 3 0 "low" 0
2916.8 66 6 1 3 0 "high" 347
208 51 0 0 3 0 "low" 2
8714.2 63 5 1 5 0 "medium" 155
67.1 66 1 2 3 0 "low" 0
503.3 64 1 0 2 0 "high" 328
1474.4 64 4 0 4 0 "high" 237
38.4 61 0 0 1 0 "low" 0
30019.2 44 30 0 4 1 "low" 350
138.3 54 1 3 5 0 "low" 214
5074.3 65 4 0 4 0 "high" 287
99.7 58 2 0 3 0 "low" 0
1459.4 47 5 0 4 0 "high" 357
506.6 65 4 0 1 0 "high" 178
21265.7 58 17 1 8 1 "medium" 188
10769.1 58 8 0 0 0 "low" 246
1223.1 61 4 0 0 0 "high" 86
244.8 57 2 0 3 0 "low" 5
146 58 3 2 2 0 "low" 5
1336.5 61 6 0 7 0 "high" 311
2058.2 54 1 0 6 1 "high" 178
45.6 55 2 0 4 0 "low" 39
3769.9 64 7 0 5 0 "high" 76
168.1 63 0 0 2 0 "medium" 215
17337.3 61 19 2 8 0 "low" 224
5984 68 7 5 7 0 "low" 132
1705.6 64 5 0 2 0 "low" 225
740.1 57 7 0 3 0 "high" 291
15306.1 51 15 0 6 0 "high" 341
51.2 67 0 0 3 0 "low" 0
256.3 65 5 0 3 0 "medium" 284
11834.8 65 8 0 4 0 "high" 42
4964.7 65 11 0 2 0 "high" 350
315.8 59 1 0 2 0 "low" 202
44.6 50 0 0 4 0 "low" 107
2486.6 55 3 0 4 0 "medium" 3
4240.1 57 14 0 4 0 "high" 359
1854.4 64 5 3 7 0 "low" 155
347.1 68 1 0 2 0 "medium" 261
500.7 58 3 0 1 1 "low" 16
204 49 1 0 4 0 "low" 126
2638.9 63 17 0 6 0 "medium" 354
10.6 52 2 0 2 0 "low" 91
58.9 63 0 1 3 0 "medium" 59
153.8 62 3 0 3 0 "low" 135
2253.8 48 6 0 3 0 "medium" 116
222.2 56 4 0 1 0 "low" 177
356.8 62 4 0 2 0 "low" 20
724.4 65 3 1 2 0 "medium" 120
998 52 4 0 2 1 "low" 97
492.7 60 2 0 2 0 "medium" 113
1087.4 58 3 0 3 0 "high" 214
1229.1 62 3 0 3 0 "high" 253
557.2 56 1 0 3 0 "high" 312
8 61 2 4 5 0 "low" 258
1222.5 63 1 0 1 0 "high" 294
2182.3 49 10 0 8 0 "high" 188
14.4 64 1 0 6 0 "low" 0
35.4 59 0 1 3 0 "low" 20
1962.9 58 7 0 4 0 "high" 248
530.1 52 6 0 4 0 "high" 44
929 62 3 0 5 0 "low" 77
647.6 45 3 0 2 0 "high" 328
3171.4 60 1 1 6 0 "low" 4
1225.7 67 12 0 2 0 "low" 304
1297.1 55 1 0 3 0 "high" 220
1570.2 53 10 0 6 0 "high" 275
48.3 43 1 0 2 0 "low" 148
632.6 63 4 0 2 0 "low" 20
448.3 64 6 0 1 0 "low" 307
162.6 59 0 0 8 0 "medium" 252
14397.6 66 10 0 5 0 "high" 351
1478.2 57 5 0 6 0 "high" 328
18183 53 11 0 2 0 "low" 131
38.4 56 0 0 2 0 "low" 0
556.4 67 6 0 0 0 "low" 86
601.4 54 0 0 1 0 "high" 325
6081.3 65 6 0 5 0 "high" 341
2814.9 60 4 0 1 0 "low" 2
28895.8 53 17 0 6 0 "high" 152
188 67 1 2 6 0 "low" 9
18373.3 61 9 0 4 0 "high" 345
251 57 4 0 1 0 "low" 7
12595.9 67 16 4 9 0 "high" 304
274.7 63 0 0 0 0 "medium" 332
40511.8 53 31 0 9 0 "medium" 95
389.9 64 1 0 3 0 "high" 356
1682.8 67 4 0 3 0 "low" 0
8.6 67 1 0 4 0 "low" 22
36.8 63 0 0 1 0 "low" 0
185.6 67 1 0 2 0 "low" 115
53.6 66 0 0 1 0 "low" 0
1174.1 51 12 0 1 0 "medium" 37
3580.5 50 12 4 8 0 "low" 213
12 59 1 1 5 0 "low" 6
145.4 65 0 0 3 0 "medium" 324
468.2 67 7 0 5 1 "low" 142
449.4 55 2 0 4 0 "high" 338
10491.1 62 6 0 5 0 "high" 297
323.9 66 3 0 4 0 "low" 64
36.8 62 0 0 0 0 "low" 0
1009.4 59 7 0 6 0 "high" 200
147 58 5 0 2 0 "low" 282
11706.9 64 8 5 17 0 "medium" 307
204.8 65 5 0 1 0 "low" 14
833.6 69 8 1 4 0 "low" 232
288.7 56 3 0 2 0 "low" 0
558.4 55 6 2 10 0 "low" 19
9987.1 60 3 0 3 0 "medium" 53
1022.6 49 1 0 0 0 "high" 85
874.4 52 5 0 2 0 "low" 52
1556.2 58 11 0 1 0 "low" 26
193.9 66 2 1 3 0 "high" 231
5464.8 58 3 1 4 1 "high" 198
4537.1 68 7 2 6 0 "medium" 336
583.3 65 0 0 1 0 "high" 263
3486.9 58 9 0 6 1 "medium" 253
40959.1 57 16 0 7 0 "high" 285
16.8 60 3 1 10 0 "low" 258
1132.2 56 6 3 4 0 "high" 134
162.7 63 1 0 1 0 "low" 105
103.6 64 1 0 1 0 "medium" 175
303.2 63 3 0 1 0 "medium" 349
158.3 62 0 0 1 0 "high" 66
232.1 51 1 0 3 0 "medium" 209
528.6 61 8 0 2 0 "low" 129
3539.8 69 4 0 4 0 "high" 326
161.5 65 0 2 5 0 "low" 166
18183 57 19 2 12 0 "high" 346
283 65 7 2 4 0 "low" 54
19389.9 60 13 3 6 0 "low" 22
354.4 56 1 0 1 0 "high" 284
11839.8 61 5 1 4 0 "low" 62
628.4 68 1 0 1 0 "high" 149
61.4 59 2 0 4 0 "low" 183
38.4 67 0 0 1 0 "low" 0
1195.2 67 10 0 3 0 "low" 203
2069.5 66 6 0 3 0 "high" 352
3039.7 55 10 0 3 0 "medium" 128
256.3 40 4 0 1 0 "low" 3
245.6 57 2 1 2 0 "high" 47
70 57 2 0 1 0 "low" 263
1082.4 62 5 0 2 0 "low" 41
664.5 65 1 0 4 0 "low" 25
5.6 57 1 0 5 0 "low" 30
90.4 65 2 1 5 0 "low" 0
56.4 52 2 0 5 0 "low" 238
610.5 57 5 0 0 0 "low" 231
335.2 61 2 0 3 0 "high" 294
11845.9 55 23 0 5 1 "high" 329
925 54 4 0 1 0 "low" 3
271.9 59 3 0 3 0 "low" 9
393.3 54 2 0 1 0 "medium" 8
23046 44 7 0 4 0 "high" 119
2911.9 62 11 3 4 0 "high" 319
64.8 59 1 0 3 0 "low" 0
122.1 52 0 0 4 0 "medium" 34
224.6 65 0 0 1 0 "high" 121
294.3 61 2 0 2 0 "low" 236
210.3 55 3 0 3 0 "low" 125
758.4 56 3 0 2 0 "low" 106
712 61 3 0 1 0 "low" 0
75.7 43 0 0 2 0 "low" 0
28.8 30 1 2 0 0 "low" 0
3585.9 52 14 1 3 0 "high" 187
65.5 66 1 0 1 0 "low" 0
1467.4 57 7 0 1 0 "medium" 342
185.6 57 2 0 2 0 "low" 48
5716 61 16 1 6 0 "high" 267
229.2 54 3 0 1 0 "medium" 52
21.7 54 1 0 1 0 "low" 7
251.1 64 0 0 2 0 "high" 308
17558 69 20 1 4 0 "high" 245
342.8 54 1 0 2 0 "medium" 277
34010.7 65 20 1 7 0 "low" 267
36.8 60 0 0 1 0 "low" 0
119.3 57 1 0 2 0 "low" 0
25112.3 43 14 0 5 0 "low" 208
166.2 56 0 0 2 0 "medium" 185
558.6 49 0 0 2 0 "high" 310
8761.5 62 16 0 5 1 "high" 174
21.5 48 2 0 0 0 "low" 0
280.8 54 1 0 3 0 "low" 156
30549.1 62 19 1 3 0 "medium" 141
41.1 56 2 0 3 0 "low" 0
3648 61 8 1 6 0 "high" 295
4324.3 58 9 0 2 1 "high" 152
450.1 61 1 0 3 0 "high" 189
1059.2 54 8 0 3 0 "low" 2
7260.5 66 6 2 6 0 "high" 155
110.7 65 0 1 4 0 "medium" 6
137.5 64 2 0 2 0 "medium" 59
26 57 0 0 2 0 "low" 0
772.2 53 4 0 2 0 "medium" 293
33.8 53 0 0 1 0 "low" 0
34.7 65 2 0 11 0 "low" 36
605.3 58 2 0 1 0 "high" 348
206.4 67 2 0 4 0 "low" 9
127.7 57 0 0 1 0 "medium" 0
894.9 65 2 0 3 0 "high" 252
2907 58 8 3 9 1 "high" 300
887.8 52 8 0 2 0 "low" 281
33409.2 42 27 4 9 0 "low" 209
27885 64 20 2 9 0 "high" 229
5596 58 9 0 4 0 "low" 225
4378.9 59 10 0 0 0 "low" 30
187.8 60 1 0 5 0 "medium" 48
196.7 56 0 1 3 0 "high" 115
4815.8 57 10 0 1 0 "medium" 324
9342.5 59 10 0 8 0 "high" 261
562.4 59 0 0 2 0 "high" 91
458.8 57 2 0 1 0 "high" 313
4372.4 64 5 0 4 1 "low" 232
36.8 65 0 0 1 0 "low" 0
3067.4 58 7 1 3 0 "low" 4
9703.2 61 16 0 5 0 "high" 207
607.3 49 2 0 4 0 "low" 36
320.4 52 5 1 7 0 "high" 119
1343.7 61 4 2 8 0 "high" 352
208.8 60 0 0 1 0 "low" 295
603.1 63 22 0 5 0 "low" 104
711.7 54 0 0 8 0 "high" 207
254 61 9 0 1 0 "medium" 175
154.4 66 2 0 1 0 "low" 216
252.2 59 2 0 4 0 "high" 287
299.8 58 2 0 0 0 "low" 242
338.9 56 1 0 1 0 "high" 89
596.1 33 2 0 2 0 "low" 41
216.7 51 2 0 3 0 "high" 184
2845.7 59 1 0 8 0 "low" 195
12638.4 54 11 1 5 0 "high" 84
389 69 3 0 0 0 "low" 40
32.3 60 1 3 6 0 "low" 99
6 65 0 0 1 0 "low" 0
2011.6 60 6 2 8 0 "high" 315
4169.7 47 14 1 5 0 "high" 180
358.6 65 4 0 2 0 "low" 283
240.6 57 1 0 1 0 "low" 39
44.7 57 0 1 3 0 "low" 0
76 67 0 0 3 0 "low" 200
38.3 61 2 0 3 0 "low" 106
2023.2 57 8 0 1 0 "low" 256
621.6 55 4 2 5 0 "low" 138
947.7 51 3 0 3 0 "medium" 273
898.4 55 3 0 3 0 "low" 262
120.2 47 1 0 2 0 "low" 0
5528.2 64 11 0 1 0 "high" 161
12.8 59 1 0 3 0 "low" 195
1162.9 59 6 0 3 1 "high" 354
615.4 63 6 4 4 0 "high" 175
171.2 55 1 0 1 0 "low" 93
5210.2 54 2 0 6 0 "low" 190
95.1 52 2 0 2 0 "low" 0
4377 65 6 1 4 0 "high" 211
254.5 65 1 0 2 0 "medium" 288
79.2 57 0 1 10 0 "low" 0
410.9 64 0 0 3 0 "high" 230
219.9 65 2 0 2 0 "high" 305
5870.8 68 7 2 9 1 "high" 355
1585.8 60 6 0 2 0 "medium" 296
115.2 68 1 0 2 0 "low" 0
335.4 63 1 0 5 0 "medium" 44
255.8 62 2 0 2 0 "medium" 294
2171.4 65 13 0 1 0 "high" 303
1173.1 63 6 0 2 0 "medium" 250
28.8 57 1 1 5 0 "low" 0
780.4 68 1 0 2 0 "high" 319
143.8 64 3 0 4 0 "medium" 154
381.8 69 1 2 2 0 "high" 335
474.2 53 6 1 9 0 "high" 56
62.4 47 2 0 1 0 "low" 0
596.6 55 4 5 10 1 "low" 105
2150 69 6 0 3 0 "low" 29
107.4 64 4 0 0 0 "low" 185
111.7 57 0 1 3 0 "low" 0
25831.2 56 9 0 5 0 "high" 115
22.5 57 0 0 1 0 "medium" 288
220 66 1 0 4 0 "high" 58
46992.6 51 36 1 16 0 "low" 324
335.5 66 4 0 1 0 "high" 291
270.2 48 0 0 2 0 "high" 311
280.9 60 0 0 4 0 "medium" 103
226 56 2 3 5 0 "low" 201
676.6 62 6 0 2 0 "medium" 44
10.4 62 0 0 1 0 "low" 0
842.3 54 0 0 1 0 "high" 222
216.8 62 2 0 2 0 "low" 12
235.3 61 2 1 3 0 "high" 281
528.3 61 3 0 2 0 "high" 164
203.3 65 2 0 1 0 "low" 219
2578.4 65 12 0 3 0 "high" 344
120 55 1 0 4 0 "low" 0
35.2 66 0 0 0 0 "low" 302
1193.2 68 13 0 4 0 "high" 266
145.1 69 0 0 2 0 "high" 111
310.8 59 2 0 3 0 "high" 347
86.7 55 0 0 2 0 "low" 1
94.7 66 2 0 1 0 "low" 184
470.5 62 2 0 1 0 "high" 244
507.8 70 5 0 8 0 "medium" 151
79.9 65 4 0 4 0 "low" 48
408.5 66 1 0 2 0 "high" 335
6894 57 20 1 6 0 "high" 66
383.2 59 3 0 3 0 "low" 111
105.6 61 3 0 6 0 "low" 158
542.9 54 3 1 2 0 "low" 164
4851.5 54 9 0 2 0 "high" 82
1231 65 0 1 10 0 "low" 0
17 67 4 0 2 0 "low" 10
666.6 69 0 0 1 0 "high" 299
648.6 58 3 2 3 0 "medium" 354
11.8 70 1 0 2 0 "low" 0
153.8 68 0 0 3 0 "medium" 202
2188.3 60 16 1 3 0 "high" 179
347.8 59 3 0 3 0 "low" 235
596.7 55 1 0 1 1 "high" 89
15.5 60 0 0 5 0 "low" 0
1811 65 2 0 3 0 "high" 312
2228.4 65 7 1 6 0 "high" 161
19902.3 58 7 0 6 1 "low" 5
2250.4 37 4 0 3 0 "low" 28
10536.5 67 8 2 2 0 "high" 35
5772.1 63 10 1 5 0 "low" 54
6177.5 52 7 9 14 1 "high" 372
308.5 64 0 0 1 0 "medium" 294
723.1 64 1 0 1 0 "high" 243
119.2 56 1 0 1 0 "low" 0
156.6 51 7 2 2 0 "low" 109
155.2 58 2 0 2 0 "medium" 286
2019.2 68 8 1 4 0 "low" 206
1354.1 63 7 0 5 0 "high" 186
1867 65 4 0 4 1 "low" 66
9711.6 63 18 0 7 0 "medium" 239
133.8 54 0 0 2 0 "high" 252
105.3 64 4 0 5 0 "low" 205
16 58 1 0 3 0 "low" 28
865.3 43 1 0 2 0 "high" 252
54.4 56 1 2 8 0 "low" 42
275.2 53 2 0 3 0 "low" 273
826.7 40 8 0 3 0 "low" 328
52664.9 65 34 5 16 0 "high" 239
450.8 66 1 2 5 0 "high" 258
2921.3 61 5 4 6 0 "low" 169
350.6 56 8 0 5 0 "low" 309
1557.6 45 10 0 0 0 "low" 30
111.2 51 0 0 2 0 "low" 0
3909.8 67 11 0 4 0 "low" 249
235.6 54 0 0 3 0 "high" 162
106.1 58 0 0 1 0 "low" 90
62.4 59 3 0 2 0 "low" 8
524.1 60 4 2 7 1 "low" 27
498.1 49 2 0 0 0 "low" 2
361.5 66 4 2 2 0 "low" 105
4763.4 52 10 0 4 0 "low" 143
299.6 65 2 0 1 0 "high" 301
958 50 7 0 1 0 "high" 237
307.5 34 5 0 1 0 "low" 165
8302.9 47 25 0 7 0 "medium" 146
260.1 64 0 1 4 0 "low" 94
36.8 61 0 0 3 0 "low" 0
212.8 63 2 0 4 0 "low" 108
562.4 67 7 0 6 0 "low" 28
186.4 57 6 3 11 0 "low" 187
4019 62 4 1 9 1 "low" 350
42 64 2 1 5 0 "low" 180
189.4 58 0 0 3 0 "high" 321
683.9 59 3 0 2 0 "low" 30
67.5 59 0 0 2 0 "medium" 89
1817.6 55 12 0 1 0 "low" 42
515 61 3 0 1 0 "low" 94
36.8 57 0 0 2 0 "low" 0
701.1 52 0 0 1 0 "high" 340
463.3 62 7 0 3 0 "medium" 247
947.7 64 4 0 0 0 "medium" 256
969.6 61 6 0 4 0 "medium" 116
1740.6 65 0 0 4 0 "high" 335
82.3 63 2 0 2 0 "low" 202
1135 68 4 0 1 0 "high" 308
897.8 53 7 0 1 0 "high" 230
92.3 51 1 0 1 0 "high" 176
1207.3 67 6 0 2 0 "high" 340
281.8 48 2 0 1 0 "high" 337
8571.5 55 6 0 3 0 "high" 133
67.2 68 2 1 4 0 "low" 1
5674.8 66 7 0 9 0 "high" 313
79.3 66 1 0 2 0 "medium" 237
273.2 58 0 0 3 0 "medium" 99
786.9 52 1 0 1 0 "high" 315
14840.5 60 5 0 5 1 "low" 294
271.6 51 1 1 8 0 "low" 2
172.6 57 3 0 1 0 "low" 91
55.2 56 1 2 5 0 "low" 179
113.9 56 2 0 1 0 "low" 282
66.8 49 0 0 2 0 "medium" 91
1164.6 54 8 1 0 0 "low" 8
4938.2 69 5 1 4 1 "high" 224
287.1 63 4 0 3 0 "low" 11
277.4 24 0 0 3 0 "low" 111
469 61 2 0 4 0 "medium" 220
2341.3 57 5 0 0 0 "high" 325
50.2 63 1 0 2 0 "low" 185
14.4 67 1 0 3 0 "low" 0
280.2 57 1 0 0 0 "high" 167
944.2 66 0 0 2 0 "high" 233
1202.2 68 5 0 2 0 "low" 319
201 64 1 0 4 0 "low" 299
276.5 52 0 0 1 0 "high" 341
515.5 46 2 0 2 0 "high" 327
491.5 51 0 0 4 0 "high" 338
3241.1 66 8 1 5 0 "high" 301
368 57 9 0 6 0 "low" 245
194.6 64 3 0 3 0 "high" 325
162.4 56 2 0 2 0 "low" 3
3312.5 60 10 0 4 0 "low" 345
41.9 65 1 0 1 0 "low" 276
19769.6 40 17 0 1 0 "medium" 64
8 56 0 0 2 0 "low" 0
3851.1 68 12 0 3 0 "high" 191
240.4 62 1 0 1 0 "high" 45
56.8 64 0 0 1 0 "low" 0
3482 57 6 1 4 0 "medium" 154
3516.5 68 5 0 3 0 "medium" 127
424.1 55 3 0 4 0 "medium" 50
1080 59 9 0 3 0 "low" 140
33867.9 46 25 0 3 0 "high" 288
24765.4 58 19 2 5 1 "high" 263
11.2 55 1 0 4 0 "low" 0
22.8 56 1 0 0 0 "low" 0
8617.9 64 13 0 3 0 "high" 68
512 56 1 0 2 0 "high" 260
160.8 63 1 0 1 0 "low" 0
78.4 61 1 0 1 0 "low" 0
160.5 51 2 1 6 0 "high" 188
448.9 48 1 0 2 0 "high" 289
1784.1 60 12 1 1 0 "low" 117
904.3 62 4 0 2 0 "low" 53
185.8 61 3 0 3 0 "low" 252
2197.8 50 6 0 6 1 "low" 277
24720.3 50 8 0 5 0 "high" 154
312.8 52 2 0 1 0 "low" 117
22.5 66 0 0 4 0 "low" 2
1682.6 64 2 0 2 0 "high" 354
25867 65 14 1 8 0 "low" 261
37.9 68 1 0 2 0 "medium" 62
48.8 62 0 0 2 0 "low" 0
980.9 60 0 0 2 0 "high" 348
8 64 0 0 3 0 "low" 0
704.6 66 3 0 3 0 "high" 250
225 69 1 0 1 0 "high" 78
9933.4 48 11 0 2 0 "high" 44
125.6 60 1 0 1 0 "low" 190
1157.6 58 5 0 2 0 "low" 102
36.8 43 1 0 2 0 "low" 4
3332.7 62 9 0 5 0 "high" 336
2281.7 51 5 0 2 0 "high" 252
603.6 62 1 0 1 0 "medium" 305
2011.5 63 4 0 5 0 "high" 241
65.2 63 0 0 1 0 "low" 0
475.8 63 1 2 5 0 "medium" 296
1301 53 6 0 2 0 "low" 265
549.1 56 11 0 2 0 "low" 293
1074.3 60 5 0 1 0 "low" 9
2088.4 56 5 0 1 0 "high" 351
34.8 51 2 0 2 0 "low" 112
2061.7 62 9 0 1 1 "low" 40
2677.7 68 3 2 6 0 "high" 303
1282.2 58 7 2 2 0 "high" 244
586 56 4 4 6 0 "medium" 336
